

                                                            Ecliptic Coordinate System

                         +---------- Position (1 Rs = 60268.0 km) ----------+    +-------------------- Velocity --------------------+

      SCET (UT)              X (Rs)        Y (Rs)        Z (Rs)        R (Rs)      X (km/s)      Y (km/s)      Z (km/s)   Vmag (km/s)
2007 326 02 00 00.000        32.443         8.206         4.588        33.777         1.496         2.000        -0.161         2.503
2007 327 02 00 00.000        34.079        10.911         4.288        36.039         0.795         1.799        -0.254         1.983
2007 328 02 00 00.000        34.772        13.313         3.868        37.434         0.171         1.579        -0.328         1.622
2007 329 02 00 00.000        34.606        15.386         3.353        38.021        -0.409         1.339        -0.389         1.453
2007 330 02 00 00.000        33.626        17.096         2.758        37.823        -0.971         1.071        -0.439         1.511
2007 331 02 00 00.000        31.841        18.397         2.098        36.834        -1.537         0.765        -0.481         1.783
2007 332 02 00 00.000        29.232        19.221         1.401        35.013        -2.127         0.400        -0.499         2.221
2007 333 02 00 00.000        25.739        19.464         0.667        32.276        -2.776        -0.057        -0.523         2.826
2007 334 02 00 00.000        21.247        18.951        -0.092        28.471        -3.530        -0.674        -0.532         3.633
2007 335 02 00 00.000        15.547        17.351        -0.842        23.313        -4.483        -1.622        -0.505         4.794
2007 336 02 00 00.000         8.216        13.867        -1.487        16.187        -5.865        -3.499        -0.355         6.838
2007 337 02 00 00.000        -1.535         4.743        -1.347         5.164        -6.966       -12.740         1.479        14.595
2007 338 02 00 00.000        10.484        -4.279         2.981        11.710         8.506         1.535         1.309         8.742
2007 339 02 00 00.000        19.780        -1.271         4.206        20.263         4.820         2.611         1.102         5.592
2007 340 02 00 00.000        25.384         2.486         5.491        26.090         3.153         2.597         0.732         4.150
2007 341 02 00 00.000        29.083         6.079         6.360        30.385         2.063         2.429         0.494         3.225
2007 342 02 00 00.000        31.426         9.393         6.932        33.525         1.229         2.216         0.310         2.553
2007 343 02 00 00.000        32.684        12.383         7.264        35.698         0.534         1.980         0.156         2.056
2007 344 02 00 00.000        33.012        15.020         7.388        37.013        -0.080         1.723         0.019         1.725
2007 345 02 00 00.000        32.496        17.272         7.323        37.523        -0.648         1.443        -0.109         1.586
2007 346 02 00 00.000        31.185        19.102         7.078        37.249        -1.195         1.130        -0.233         1.662
2007 347 02 00 00.000        29.093        20.453         6.655        36.180        -1.742         0.772        -0.358         1.939
2007 348 02 00 00.000        26.202        21.246         6.061        34.274        -2.312         0.344        -0.479         2.386
2007 349 02 00 00.000        22.467        21.353         5.273        31.441        -2.929        -0.196        -0.622         3.001
2007 350 02 00 00.000        17.789        20.562         4.265        27.522        -3.635        -0.934        -0.790         3.835
2007 351 02 00 00.000        11.994        18.462         2.988        22.218        -4.503        -2.085        -1.002         5.062
2007 352 02 00 00.000         4.762        14.027         1.350        14.875        -5.658        -4.460        -1.304         7.322
2007 353 02 00 00.000        -3.276         1.916        -0.647         3.850        -0.976       -17.177        -0.633        17.216
2007 354 02 00 00.000        11.368        -4.628         2.308        12.489         7.950         1.869         1.740         8.350
2007 355 02 00 00.000        20.040        -1.176         4.383        20.547         4.345         2.922         1.701         5.505
2007 356 02 00 00.000        25.000         3.004         6.515        26.009         2.714         2.879         1.300         4.165
2007 357 02 00 00.000        28.075         6.981         8.156        30.057         1.628         2.679         1.000         3.291
2007 358 02 00 00.000        29.797        10.627         9.405        33.004         0.798         2.427         0.748         2.662
2007 359 02 00 00.000        30.443        13.891        10.314        35.016         0.110         2.148         0.523         2.213
2007 360 02 00 00.000        30.170        16.735        10.910        36.185        -0.493         1.843         0.311         1.933
2007 361 02 00 00.000        29.074        19.123        11.208        36.560        -1.046         1.508         0.104         1.838
2007 362 02 00 00.000        27.208        21.004        11.208        36.154        -1.572         1.133        -0.105         1.940
2007 363 02 00 00.000        24.598        22.311        10.901        34.952        -2.089         0.700        -0.327         2.228
2007 364 02 00 00.000        21.240        22.940        10.262        32.904        -2.617         0.180        -0.569         2.685
2007 365 02 00 00.000        17.108        22.732         9.250        29.917        -3.173        -0.483        -0.852         3.321
2008 001 02 00 00.000        12.146        21.412         7.785        25.819        -3.779        -1.404        -1.207         4.208
2008 002 02 00 00.000         6.269        18.434         5.723        20.294        -4.445        -2.884        -1.705         5.566
2008 003 02 00 00.000        -0.516        12.358         2.731        12.667        -4.911        -6.136        -2.566         8.267
2008 004 02 00 00.000        -2.416        -3.004        -1.262         4.056        11.455       -12.168        -0.120        16.712
2008 005 02 00 00.000        12.490        -4.958         1.799        13.557         7.197         2.249         2.216         7.859
2008 006 02 00 00.000        20.243        -1.219         4.651        20.806         3.608         2.490         1.936         4.792
2008 007 02 00 00.000        24.157         2.351         7.102        25.289         1.967         2.465         1.499         3.492
2008 008 02 00 00.000        26.099         5.747         8.976        28.192         0.787         2.278         1.122         2.659
2008 009 02 00 00.000        26.521         8.814        10.329        29.795        -0.181         2.011         0.767         2.160
2008 010 02 00 00.000        25.640        11.450        11.174        30.222        -1.046         1.676         0.410         2.017
2008 011 02 00 00.000        23.554        13.547        11.492        29.502        -1.874         1.255         0.028         2.255
2008 012 02 00 00.000        20.277        14.958        11.227        27.585        -2.718         0.704        -0.411         2.837
2008 013 02 00 00.000        15.743        15.433        10.260        24.316        -3.640        -0.079        -0.964         3.766
2008 014 02 00 00.000         9.779        14.472         8.345        19.357        -4.732        -1.386        -1.772         5.239
2008 015 02 00 00.000         2.073        10.657         4.829        11.882        -6.034        -4.533        -3.377         8.268
2008 016 02 00 00.000        -0.325        -3.742        -1.595         4.081        13.882        -8.824         0.030        16.449
2008 017 02 00 00.000        13.496        -4.533         1.668        14.335         6.367         1.927         2.427         7.081
2008 018 02 00 00.000        20.357        -1.247         4.777        20.947         3.548         2.478         1.919         4.734
2008 019 02 00 00.000        24.208         2.301         7.211        25.363         1.931         2.450         1.489         3.457
2008 020 02 00 00.000        26.102         5.678         9.070        28.210         0.756         2.267         1.109         2.635
2008 021 02 00 00.000        26.479         8.730        10.402        29.759        -0.212         2.002         0.751         2.149
2008 022 02 00 00.000        25.551        11.353        11.221        30.128        -1.081         1.667         0.390         2.024
2008 023 02 00 00.000        23.411        13.436        11.506        29.343        -1.915         1.244         0.001         2.283
2008 024 02 00 00.000        20.067        14.827        11.196        27.348        -2.770         0.686        -0.447         2.889
2008 025 02 00 00.000        15.447        15.266        10.167        23.980        -3.710        -0.116        -1.016         3.848
2008 026 02 00 00.000         9.363        14.219         8.157        18.878        -4.832        -1.480        -1.859         5.384
2008 027 02 00 00.000         1.489        10.118         4.448        11.152        -6.148        -4.944        -3.594         8.669
2008 028 02 00 00.000         1.148        -4.537        -1.511         4.918        13.554        -5.754         1.279        14.780
2008 029 02 00 00.000        14.136        -4.441         1.969        14.947         6.078         1.974         2.401         6.827
2008 030 02 00 00.000        20.723        -1.153         5.036        21.358         3.419         2.459         1.891         4.616
2008 031 02 00 00.000        24.430         2.361         7.431        25.644         1.852         2.426         1.462         3.384
2008 032 02 00 00.000        26.229         5.705         9.251        28.392         0.699         2.245         1.083         2.589
2008 033 02 00 00.000        26.532         8.729        10.545        29.856        -0.259         1.984         0.723         2.128
2008 034 02 00 00.000        25.541        11.328        11.324        30.148        -1.123         1.651         0.360         2.029
2008 035 02 00 00.000        23.340        13.390        11.564        29.288        -1.958         1.229        -0.031         2.312
2008 036 02 00 00.000        19.932        14.759        11.204        27.215        -2.817         0.669        -0.485         2.936
2008 037 02 00 00.000        15.237        15.165        10.114        23.758        -3.767        -0.146        -1.065         3.918
2008 038 02 00 00.000         9.029        14.024         8.055        18.522        -4.930        -1.573        -1.910         5.516
2008 039 02 00 00.000         1.003         9.662         4.208        10.586        -6.237        -5.311        -3.775         9.020
2008 040 02 00 00.000         2.179        -4.947        -1.450         5.597        12.940        -4.153         1.667        13.692
2008 041 02 00 00.000        14.607        -4.399         2.010        15.387         5.904         1.982         2.347         6.655
2008 042 02 00 00.000        21.038        -1.139         5.021        21.659         3.350         2.429         1.865         4.539
2008 043 02 00 00.000        24.674         2.332         7.391        25.862         1.816         2.397         1.452         3.339
2008 044 02 00 00.000        26.432         5.638         9.205        28.552         0.677         2.222         1.083         2.562
2008 045 02 00 00.000        26.710         8.632        10.504        29.971        -0.274         1.967         0.730         2.116
2008 046 02 00 00.000        25.700        11.211        11.295        30.228        -1.136         1.641         0.371         2.030
2008 047 02 00 00.000        23.481        13.263        11.554        29.339        -1.970         1.225        -0.017         2.320
2008 048 02 00 00.000        20.055        14.630        11.216        27.241        -2.831         0.672        -0.469         2.947
2008 049 02 00 00.000        15.338        15.046        10.149        23.762        -3.786        -0.135        -1.049         3.931
2008 050 02 00 00.000         9.125        13.954         8.073        18.524        -4.938        -1.535        -1.923         5.517
2008 051 02 00 00.000         1.072         9.654         4.205        10.584        -6.272        -5.264        -3.792         9.024
2008 052 02 00 00.000         2.166        -4.959        -1.442         5.601        12.896        -4.224         1.711        13.677
2008 053 02 00 00.000        14.577        -4.494         2.053        15.392         5.907         1.938         2.363         6.651
2008 054 02 00 00.000        20.686        -1.300         5.309        21.396         2.670         2.402         2.268         4.248
2008 055 02 00 00.000        23.300         2.146         8.205        24.796         1.064         2.382         1.776         3.156
2008 056 02 00 00.000        23.909         5.421        10.401        26.631        -0.180         2.185         1.286         2.542
2008 057 02 00 00.000        22.868         8.326        11.881        27.081        -1.261         1.869         0.771         2.382
2008 058 02 00 00.000        20.331        10.687        12.580        26.188        -2.284         1.418         0.190         2.695
2008 059 02 00 00.000        16.323        12.269        12.363        23.871        -3.328         0.759        -0.524         3.454
2008 060 02 00 00.000        10.753        12.650        10.943        19.884        -4.479        -0.320        -1.528         4.743
2008 061 02 00 00.000         3.418        10.787         7.620        13.642        -5.771        -2.647        -3.339         7.173
2008 062 02 00 00.000        -3.971         1.522        -0.255         4.260         0.786       -13.696        -8.150        15.957
2008 063 02 00 00.000         9.932        -5.878        -0.614        11.557         7.739         0.781         2.801         8.267
2008 064 02 00 00.000        17.955        -3.430         3.299        18.575         3.979         2.206         2.544         5.212
2008 065 02 00 00.000        22.118        -0.086         6.603        23.083         1.979         2.400         2.062         3.732
2008 066 02 00 00.000        23.900         3.295         9.213        25.826         0.567         2.307         1.580         2.853
2008 067 02 00 00.000        23.869         6.433        11.128        27.110        -0.587         2.073         1.089         2.414
2008 068 02 00 00.000        22.279         9.155        12.318        27.054        -1.627         1.723         0.561         2.435
2008 069 02 00 00.000        19.228        11.274        12.696        25.652        -2.641         1.222        -0.052         2.910
2008 070 02 00 00.000        14.696        12.515        12.087        22.775        -3.708         0.466        -0.838         3.830
2008 071 02 00 00.000         8.545        12.332        10.114        18.094        -4.915        -0.861        -2.015         5.381
2008 072 02 00 00.000         0.581         9.133         5.746        10.806        -6.104        -4.305        -4.478         8.709
2008 073 02 00 00.000         0.200        -4.284        -2.544         4.986        12.770        -6.980        -0.347        14.557
2008 074 02 00 00.000        13.208        -5.385         0.775        14.285         6.097         1.546         2.813         6.890
2008 075 02 00 00.000        19.647        -2.479         4.530        20.315         3.207         2.306         2.390         4.616
2008 076 02 00 00.000        22.920         0.905         7.605        24.165         1.466         2.381         1.901         3.381
2008 077 02 00 00.000        24.054         4.221         9.982        26.382         0.161         2.241         1.414         2.655
2008 078 02 00 00.000        23.478         7.243        11.652        27.193        -0.947         1.975         0.910         2.372
2008 079 02 00 00.000        21.385         9.797        12.566        26.669        -1.975         1.584         0.354         2.556
2008 080 02 00 00.000        17.827        11.677        12.615        24.764        -3.006         1.017        -0.311         3.188
2008 081 02 00 00.000        12.741        12.539        11.568        21.293        -4.122         0.121        -1.203         4.296
2008 082 02 00 00.000         5.939        11.625         8.905        15.802        -5.409        -1.625        -2.666         6.245
2008 083 02 00 00.000        -2.493         6.092         2.923         7.202        -5.528        -7.844        -6.486        11.583
2008 084 02 00 00.000         6.136        -6.011        -1.735         8.763         9.787        -0.928         2.500        10.144
2008 085 02 00 00.000        16.006        -4.564         2.244        16.794         4.819         1.945         2.696         5.854
2008 086 02 00 00.000        20.610        -1.417         5.996        21.511         1.755         2.367         2.493         3.860
2008 087 02 00 00.000        21.905         1.984         9.160        23.826         0.119         2.353         1.911         3.034
2008 088 02 00 00.000        21.083         5.205        11.444        24.547        -1.240         2.128         1.260         2.767
2008 089 02 00 00.000        18.406         7.969        12.718        23.749        -2.493         1.709         0.491         3.062
2008 090 02 00 00.000        13.943         9.949        12.745        21.350        -3.750         1.004        -0.507         3.916
2008 091 02 00 00.000         7.621        10.548        11.024        17.055        -5.095        -0.320        -2.028         5.493
2008 092 02 00 00.000        -0.570         8.044         6.184        10.162        -6.098        -3.935        -5.247         8.955
2008 093 02 00 00.000        -0.234        -4.233        -3.437         5.457        11.742        -6.877        -1.344        13.674
2008 094 02 00 00.000        12.451        -6.049        -0.428        13.849         6.045         1.187         3.061         6.879
2008 095 02 00 00.000        18.680        -3.446         3.830        19.377         2.960         2.203         2.785         4.623
2008 096 02 00 00.000        21.457        -0.119         7.451        22.714         1.025         2.388         2.251         3.438
2008 097 02 00 00.000        21.826         3.241        10.252        24.331        -0.464         2.284         1.645         2.853
2008 098 02 00 00.000        20.219         6.314        12.127        24.408        -1.763         1.990         0.952         2.824
2008 099 02 00 00.000        16.803         8.819        12.911        22.953        -3.008         1.478         0.106         3.353
2008 100 02 00 00.000        11.582        10.356        12.285        19.807        -4.300         0.590        -1.055         4.467
2008 101 02 00 00.000         4.438        10.055         9.520        14.541        -5.674        -1.281        -3.022         6.555
2008 102 02 00 00.000        -3.867         4.540         2.214         6.361        -4.136        -8.430        -8.131        12.421
2008 103 02 00 00.000         6.153        -6.323        -2.795         9.255         9.236        -1.147         2.392         9.609
2008 104 02 00 00.000        15.551        -5.233         1.432        16.470         4.524         1.778         3.023         5.724
2008 105 02 00 00.000        20.141        -2.210         5.472        20.988         2.073         2.321         2.575         4.040
2008 106 02 00 00.000        21.838         1.174         8.762        23.560         0.370         2.370         2.004         3.125
2008 107 02 00 00.000        21.349         4.452        11.184        24.509        -1.022         2.190         1.362         2.774
2008 108 02 00 00.000        18.972         7.338        12.616        23.936        -2.290         1.819         0.612         2.987
2008 109 02 00 00.000        14.796         9.520        12.841        21.782        -3.551         1.183        -0.346         3.759
2008 110 02 00 00.000         8.760        10.463        11.412        17.789        -4.898         0.005        -1.763         5.206
2008 111 02 00 00.000         0.775         8.738         7.169        11.329        -6.133        -2.987        -4.571         8.212
2008 112 02 00 00.000        -2.518        -2.455        -2.853         4.529        10.031       -10.554        -4.691        15.298
2008 113 02 00 00.000        11.089        -6.390        -1.013        12.838         6.673         0.776         3.037         7.373
2008 114 02 00 00.000        17.979        -4.101         3.306        18.734         3.308         2.096         2.856         4.847
2008 115 02 00 00.000        21.175        -0.855         7.038        22.330         1.276         2.369         2.332         3.561
2008 116 02 00 00.000        21.866         2.515         9.957        24.158        -0.259         2.314         1.729         2.900
2008 117 02 00 00.000        20.535         5.659        11.959        24.428        -1.581         2.059         1.046         2.799
2008 118 02 00 00.000        17.371         8.296        12.887        23.166        -2.837         1.594         0.218         3.261
2008 119 02 00 00.000        12.392        10.047        12.449        20.236        -4.133         0.782        -0.898         4.301
2008 120 02 00 00.000         5.479        10.135         9.987        15.247        -5.532        -0.888        -2.728         6.232
2008 121 02 00 00.000        -3.017         5.781         3.440         7.373        -5.334        -6.754        -7.272        11.267
2008 122 02 00 00.000         4.577        -6.133        -3.122         8.265         9.999        -2.195         1.970        10.425
2008 123 02 00 00.000        14.747        -5.696         0.987        15.840         4.895         1.585         3.057         5.985
2008 124 02 00 00.000        19.763        -2.837         5.100        20.606         2.319         2.261         2.634         4.174
2008 125 02 00 00.000        21.770         0.506         8.479        23.369         0.565         2.367         2.068         3.194
2008 126 02 00 00.000        21.542         3.810        10.997        24.485        -0.850         2.228         1.433         2.782
2008 127 02 00 00.000        19.402         6.779        12.539        24.076        -2.129         1.897         0.696         2.935
2008 128 02 00 00.000        15.454         9.110        12.903        22.098        -3.393         1.316        -0.233         3.646
2008 129 02 00 00.000         9.644        10.308        11.679        18.321        -4.742         0.245        -1.579         5.004
2008 130 02 00 00.000         1.842         9.126         7.838        12.170        -6.092        -2.364        -4.131         7.731
2008 131 02 00 00.000        -3.796        -0.629        -1.921         4.300         6.178       -12.468        -7.457        15.787
2008 132 02 00 00.000         9.948        -6.621        -1.446        12.037         7.198         0.352         2.987         7.801
2008 133 02 00 00.000        17.388        -4.661         2.906        18.235         3.602         1.974         2.913         5.036
2008 134 02 00 00.000        20.325        -1.948         6.608        21.460         0.819         1.915         2.236         3.056
2008 135 02 00 00.000        20.238         0.851         9.344        22.307        -0.905         1.966         1.557         2.666
2008 136 02 00 00.000        17.768         3.551        10.977        21.185        -2.549         1.773         0.674         3.178
2008 137 02 00 00.000        12.851         5.741        11.070        17.906        -4.370         1.204        -0.656         4.580
2008 138 02 00 00.000         4.979         6.455         8.458        11.748        -6.749        -0.608        -3.446         7.602
2008 139 02 00 00.000        -1.878        -1.706        -2.469         3.540        10.762       -11.835        -7.082        17.494
2008 140 02 00 00.000        11.582        -6.028        -0.996        13.095         6.188         0.284         2.912         6.845
2008 141 02 00 00.000        17.824        -4.524         3.149        18.656         2.872         1.549         2.745         4.264
2008 142 02 00 00.000        20.356        -1.998         6.723        21.530         0.769         1.919         2.213         3.028
2008 143 02 00 00.000        20.203         0.807         9.424        22.308        -0.948         1.971         1.530         2.670
2008 144 02 00 00.000        17.670         3.517        11.012        21.116        -2.596         1.781         0.637         3.212
2008 145 02 00 00.000        12.678         5.715        11.039        17.755        -4.431         1.205        -0.717         4.648
2008 146 02 00 00.000         4.693         6.397         8.287        11.473        -6.849        -0.684        -3.612         7.773
2008 147 02 00 00.000        -1.351        -2.231        -2.776         3.809        11.680       -10.707        -5.463        16.760
2008 148 02 00 00.000        11.827        -6.092        -0.856        13.332         6.034         0.318         2.927         6.714
2008 149 02 00 00.000        17.919        -4.578         3.286        18.784         2.799         1.542         2.739         4.209
2008 150 02 00 00.000        19.649        -2.307         6.731        20.898         0.007         1.710         2.055         2.674
2008 151 02 00 00.000        18.292         0.237         9.138        20.449        -1.898         1.814         1.254         2.910
2008 152 02 00 00.000        14.123         2.732        10.118        17.586        -3.986         1.611        -0.004         4.299
2008 153 02 00 00.000         6.482         4.437         8.459        11.543        -6.915         0.455        -2.813         7.479
2008 154 02 00 00.000        -0.700        -2.118        -2.867         3.632        12.596       -10.026        -5.837        17.125
2008 155 02 00 00.000        12.110        -5.930        -1.152        13.533         5.679         0.001         2.781         6.324
2008 156 02 00 00.000        17.720        -4.899         2.840        18.602         2.458         1.221         2.664         3.825
2008 157 02 00 00.000        19.623        -2.786         6.311        20.801         0.285         1.676         2.141         2.734
2008 158 02 00 00.000        18.656        -0.257         8.869        20.659        -1.624         1.828         1.383         2.809
2008 159 02 00 00.000        14.909         2.300        10.088        18.147        -3.661         1.694         0.217         4.040
2008 160 02 00 00.000         7.836         4.260         8.946        12.632        -6.413         0.812        -2.197         6.827
2008 161 02 00 00.000        -2.555         0.361        -0.843         2.714         3.538       -13.658       -14.557        20.273
2008 162 02 00 00.000        10.886        -5.967        -1.706        12.531         6.320        -0.378         2.697         6.882
2008 163 02 00 00.000        17.160        -5.246         2.294        18.090         2.814         1.098         2.715         4.061
2008 164 02 00 00.000        19.510        -3.250         5.865        20.630         0.567         1.627         2.227         2.816
2008 165 02 00 00.000        18.931        -0.757         8.571        20.795        -1.355         1.825         1.505         2.726
2008 166 02 00 00.000        15.589         1.835        10.009        18.616        -3.354         1.753         0.414         3.807
2008 167 02 00 00.000         9.039         3.986         9.300        13.568        -5.963         1.075        -1.711         6.295
2008 168 02 00 00.000        -2.024         2.427         1.881         3.677        -7.087        -8.059       -13.183        16.999
2008 169 02 00 00.000         9.636        -5.925        -2.177        11.520         6.996        -0.823         2.564         7.497
2008 170 02 00 00.000        16.585        -5.555         1.799        17.583         3.165         0.961         2.751         4.302
2008 171 02 00 00.000        19.368        -3.690         5.449        20.456         0.838         1.570         2.297         2.906
2008 172 02 00 00.000        19.164        -1.242         8.278        20.912        -1.096         1.819         1.609         2.665
2008 173 02 00 00.000        16.208         1.381         9.910        19.047        -3.064         1.806         0.588         3.605
2008 174 02 00 00.000        10.142         3.691         9.574        14.427        -5.551         1.282        -1.308         5.845
2008 175 02 00 00.000        -0.440         3.496         3.934         5.281        -9.076        -3.941        -9.340        13.607
2008 176 02 00 00.000         8.243        -5.753        -2.615        10.387         7.755        -1.360         2.373         8.223
2008 177 02 00 00.000        15.885        -5.753         1.332        16.947         3.487         0.841         2.800         4.550
2008 178 02 00 00.000        19.031        -3.987         5.074        20.095         1.041         1.538         2.370         3.011
2008 179 02 00 00.000        19.076        -1.551         8.012        20.748        -0.945         1.829         1.690         2.663
2008 180 02 00 00.000        16.317         1.110         9.766        19.049        -2.937         1.849         0.681         3.536
2008 181 02 00 00.000        10.433         3.512         9.588        14.598        -5.420         1.378        -1.169         5.713
2008 182 02 00 00.000         0.035         3.663         4.377         5.708        -9.153        -3.183        -8.539        12.916
2008 183 02 00 00.000         7.809        -5.738        -2.736        10.069         7.980        -1.585         2.289         8.452
2008 184 02 00 00.000        15.667        -5.911         1.182        16.786         3.598         0.775         2.806         4.628
2008 185 02 00 00.000        18.951        -4.207         4.943        20.032         1.128         1.512         2.389         3.044
2008 186 02 00 00.000        19.115        -1.791         7.916        20.767        -0.863         1.828         1.719         2.653
2008 187 02 00 00.000        16.476         0.885         9.722        19.152        -2.849         1.873         0.727         3.486
2008 188 02 00 00.000        10.732         3.352         9.639        14.809        -5.308         1.452        -1.071         5.606
2008 189 02 00 00.000         0.516         3.791         4.777         6.120        -9.142        -2.559        -7.866        12.329
2008 190 02 00 00.000         7.389        -5.703        -2.855         9.761         8.204        -1.819         2.194         8.684
2008 191 02 00 00.000        15.458        -6.050         1.029        16.632         3.704         0.709         2.810         4.703
2008 192 02 00 00.000        18.873        -4.409         4.808        19.969         1.210         1.486         2.407         3.076
2008 193 02 00 00.000        19.149        -2.012         7.814        20.780        -0.787         1.826         1.747         2.646
2008 194 02 00 00.000        16.624         0.678         9.670        19.244        -2.766         1.895         0.772         3.441
2008 195 02 00 00.000        11.012         3.204         9.678        15.006        -5.200         1.519        -0.978         5.505
2008 196 02 00 00.000         0.980         3.898         5.140         6.525        -9.077        -2.029        -7.263        11.801
2008 197 02 00 00.000         6.932        -5.660        -2.971         9.429         8.438        -2.080         2.085         8.937
2008 198 02 00 00.000        15.224        -6.200         0.874        16.461         3.817         0.637         2.815         4.785
2008 199 02 00 00.000        18.780        -4.626         4.672        19.898         1.299         1.457         2.427         3.114
2008 200 02 00 00.000        19.179        -2.251         7.713        20.794        -0.702         1.823         1.777         2.640
2008 201 02 00 00.000        16.777         0.452         9.624        19.347        -2.675         1.917         0.819         3.391
2008 202 02 00 00.000        11.312         3.036         9.727        15.224        -5.082         1.586        -0.881         5.396
2008 203 02 00 00.000         1.490         3.977         5.514         6.960        -8.957        -1.536        -6.680        11.279
2008 204 02 00 00.000         6.437        -5.592        -3.088         9.069         8.710        -2.379         1.945         9.236
2008 205 02 00 00.000        14.982        -6.342         0.705        16.284         3.940         0.561         2.817         4.876
2008 206 02 00 00.000        18.689        -4.840         4.520        19.827         1.392         1.426         2.446         3.155
2008 207 02 00 00.000        19.216        -2.490         7.596        20.812        -0.614         1.818         1.807         2.636
2008 208 02 00 00.000        16.943         0.223         9.562        19.457        -2.580         1.938         0.868         3.341
2008 209 02 00 00.000        11.630         2.864         9.765        15.454        -4.959         1.652        -0.779         5.284
2008 210 02 00 00.000         2.032         4.045         5.879         7.420        -8.803        -1.078        -6.119        10.775
2008 211 02 00 00.000         5.878        -5.482        -3.207         8.654         9.012        -2.736         1.773         9.583
2008 212 02 00 00.000        14.697        -6.478         0.525        16.070         4.072         0.472         2.821         4.976
2008 213 02 00 00.000        18.561        -5.069         4.374        19.732         1.416         1.306         2.690         3.309
2008 214 02 00 00.000        18.558        -2.133         7.853        20.264        -1.022         2.242         2.049         3.204
2008 215 02 00 00.000        15.633         1.154        10.070        18.631        -3.087         2.295         0.954         3.963
2008 216 02 00 00.000         9.533         4.151        10.168        14.543        -5.528         1.730        -1.071         5.890
2008 217 02 00 00.000        -0.483         4.719         5.233         7.063        -8.102        -2.451        -7.387        11.235
2008 218 02 00 00.000         3.415        -5.740        -4.759         8.201         9.248        -3.978         0.558        10.083
2008 219 02 00 00.000        13.087        -7.595        -1.479        15.203         4.690         0.296         2.979         5.564
2008 220 02 00 00.000        17.707        -6.143         2.821        18.953         1.927         1.561         2.900         3.816
2008 221 02 00 00.000        18.885        -3.455         6.625        20.310        -0.228         2.132         2.351         3.182
2008 222 02 00 00.000        17.110        -0.222         9.396        19.521        -2.255         2.337         1.444         3.554
2008 223 02 00 00.000        12.317         3.023        10.471        16.446        -4.502         2.100        -0.103         4.969
2008 224 02 00 00.000         3.886         5.154         8.183        10.423        -7.389         0.357        -3.768         8.302
2008 225 02 00 00.000        -2.020        -2.159        -3.663         4.707         9.144        -9.717        -6.102        14.672
2008 226 02 00 00.000        10.079        -7.559        -3.056        12.964         6.118        -0.680         2.691         6.718
2008 227 02 00 00.000        16.336        -6.979         1.195        17.805         2.873         1.184         3.014         4.329
2008 228 02 00 00.000        18.735        -4.666         5.268        20.013         0.561         1.961         2.603         3.307
2008 229 02 00 00.000        18.065        -1.580         8.494        20.025        -1.480         2.303         1.837         3.297
2008 230 02 00 00.000        14.450         1.747        10.311        17.838        -3.607         2.279         0.587         4.307
2008 231 02 00 00.000         7.487         4.575         9.617        13.018        -6.240         1.427        -1.919         6.683
2008 232 02 00 00.000        -3.080         3.101         1.840         4.743        -5.619        -7.089       -11.467        14.605
2008 233 02 00 00.000         6.496        -6.890        -4.250        10.380         7.793        -2.215         1.920         8.326
2008 234 02 00 00.000        14.581        -7.549        -0.343        16.423         3.871         0.690         3.036         4.968
2008 235 02 00 00.000        18.227        -5.726         3.894        19.498         1.345         1.733         2.788         3.547
2008 236 02 00 00.000        18.633        -2.857         7.472        20.277        -0.742         2.222         2.148         3.178
2008 237 02 00 00.000        16.107         0.470         9.883        18.903        -2.800         2.366         1.122         3.834
2008 238 02 00 00.000        10.448         3.661        10.310        15.129        -5.190         1.955        -0.745         5.596
2008 239 02 00 00.000         0.886         4.994         6.305         8.092        -8.097        -1.165        -6.060        10.180
2008 240 02 00 00.000         1.780        -5.023        -4.795         7.169         9.728        -5.356        -0.539        11.118
2008 241 02 00 00.000        12.149        -7.831        -1.992        14.591         5.076        -0.032         2.928         5.860
2008 242 02 00 00.000        17.238        -6.687         2.321        18.635         2.214         1.425         2.948         3.952
2008 243 02 00 00.000        18.799        -4.123         6.223        20.227         0.026         2.089         2.437         3.210
2008 244 02 00 00.000        17.383        -0.900         9.145        19.662        -2.002         2.368         1.573         3.477
2008 245 02 00 00.000        12.970         2.455        10.459        16.842        -4.217         2.234         0.116         4.774
2008 246 02 00 00.000         4.985         4.961         8.681        11.173        -7.068         0.854        -3.163         7.790
2008 247 02 00 00.000        -3.165        -0.611        -2.567         4.121         6.104       -11.272        -9.460        15.931
2008 248 02 00 00.000         9.036        -7.603        -3.459        12.305         6.529        -1.139         2.539         7.098
2008 249 02 00 00.000        15.777        -7.436         0.731        17.457         3.160         1.005         3.032         4.493
2008 250 02 00 00.000        18.555        -5.296         4.866        19.900         0.811         1.888         2.666         3.366
2008 251 02 00 00.000        18.238        -2.257         8.209        20.127        -1.232         2.309         1.940         3.258
2008 252 02 00 00.000        14.992         1.136        10.219        18.178        -3.335         2.370         0.761         4.162
2008 253 02 00 00.000         8.460         4.204         9.892        13.678        -5.902         1.714        -1.528         6.333
2008 254 02 00 00.000        -2.018         4.029         3.454         5.678        -7.501        -4.485        -9.656        13.024
2008 255 02 00 00.000         5.085        -6.577        -4.571         9.487         8.327        -3.049         1.448         8.985
